UniProtKB	Q5F6V8	priA		GO:0005515	PMID:21861872	IPI	UniProtKB:Q5F924	F	Primosomal protein N'	NGO_1437	protein	NCBITaxon:242231	20160624	UniProt		
UniProtKB	Q5F5Y9	fur		GO:0000976	PMID:22287521	IPI	RefSeq:NC_002946.2	F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0000976	PMID:24811061	EXP		F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0000976	PMID:8759870	IPI	RefSeq:NC_002946.2	F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0001216	PMID:22287521	IPI	RefSeq:NC_002946.2	F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0001216	PMID:24811061	EXP		F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0001216	PMID:8759870	IPI	RefSeq:NC_002946.2	F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0001217	PMID:24811061	EXP		F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0032993	PMID:12081969	IMP		C	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0032993	PMID:22287521	IPI	RefSeq:NC_002946.2	C	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0032993	PMID:24811061	EXP		C	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0032993	PMID:8759870	IPI	RefSeq:NC_002946.2	C	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0043565	PMID:12081969	IMP		F	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0045892	PMID:24811061	EXP		P	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0045893	PMID:22287521	EXP		P	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0045893	PMID:24811061	EXP		P	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5Y9	fur		GO:0045893	PMID:8759870	EXP		P	Ferric uptake regulation protein	NGO_1779	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F5R5	rpoB		GO:0071281	PMID:22287521	EXP		P	DNA-directed RNA polymerase subunit beta	NGO1851	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F628	NGO_1738		GO:0071281	PMID:24811061	EXP		P	NADH:ubiquinone oxidoreductase subunit M		protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F615	nuoA		GO:0071281	PMID:22287521	EXP		P	NADH-quinone oxidoreductase subunit A	NGO_1751	protein	NCBITaxon:242231	20170328	CollecTF		
UniProtKB	Q5F769	NGO_1317		GO:0071281	PMID:22287521	EXP		P	DDE_Tnp_IS1595 domain-containing protein		protein	NCBITaxon:242231	20170328	CollecTF		

